000000007b5207b6,00000000675d5200,000000006b44cce7,0000000038d83d41,00000000afef4555,00000000fb7600be,000000006b087f40,0000000053c6c2be,00000000fdda10fe,000000000f4919c9,0000000006dd41f6,00000000a53ed894,00000000aa852af1,00000000f1124bca,0000000019fb59c4,00000000e8a064a4,0000000038bf9618,00000000342570c2,00000000d747f075
0.0,0.06349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06349206349206349,0.09523809523809523,0.09523809523809523,0.06349206349206349,0.031746031746031744,0.015873015873015872,0.031746031746031744,0.0,0.0,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07936507936507936,0.0,0.047619047619047616,0.09523809523809523,0.015873015873015872,0.0,0.031746031746031744,0.015873015873015872,0.0,0.0,0.031746031746031744,0.015873015873015872,0.0,0.0,0.015873015873015872,0.0,0.0
0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.09523809523809523,0.0,0.031746031746031744,0.015873015873015872,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.015873015873015872,0.0
0.0,0.0,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0
0.015873015873015872,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0,0.0,0.015873015873015872,0.031746031746031744,0.0,0.0,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.015873015873015872
0.0,0.0,0.031746031746031744,0.015873015873015872,0.047619047619047616,0.015873015873015872,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0
0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0
0.0,0.0,0.031746031746031744,0.015873015873015872,0.047619047619047616,0.015873015873015872,0.031746031746031744,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07936507936507936,0.07936507936507936,0.031746031746031744,0.015873015873015872,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.015873015873015872,0.031746031746031744,0.0,0.0,0.0,0.015873015873015872,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
